,groundwater_ID,east,north,municipality
0,16001,690356,5320959,
1,16005,704195,5332811,
2,16006,704219,5332868,
3,16012,687858,5343079,Feldmoching-Hasenbergl
4,16118,691149,5351053,
5,16195,700053,5336952,Bogenhausen
6,16196,704345,5339530,
7,16245,692606,5349002,
8,16262,693836,5322087,
9,16267,680462,5330726,
10,16269,689543,5347649,
11,16272,690731,5349729,
12,16273,691890,5345057,
13,16274,704183,5322959,
14,16275,682903,5328804,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln
15,16277,696784,5338502,Bogenhausen
16,16282,695999,5347584,
17,16290,688204,5321889,
18,16292,696546,5328842,
19,16293,699538,5318863,
20,16294,706856,5316381,
21,16300,694471,5337689,Bogenhausen
22,16702,689059,5327916,Sendling
23,16704,692440,5333855,Au-Haidhausen
24,16705,691310,5332450,Untergiesing-Harlaching
25,16710,682374,5338219,Pasing-Obermenzing
26,16810,695106,5335005,Bogenhausen
27,16811,698833,5333374,Trudering-Riem
28,16814,685052,5339991,Allach-Untermenzing
29,16815,695873,5343278,Schwabing-Freimann
